num_date_time,answer
1 2020-08-25 00,8672.197908235823
1 2020-08-25 01,8658.418572188077
1 2020-08-25 02,8645.363132387
1 2020-08-25 03,8631.126845883417
1 2020-08-25 04,8616.180325919826
1 2020-08-25 05,8596.845776829441
1 2020-08-25 06,8585.727036110584
1 2020-08-25 07,8624.564388521547
1 2020-08-25 08,8642.002737644683
1 2020-08-25 09,8699.537497721658
1 2020-08-25 10,8721.385143341995
1 2020-08-25 11,8735.31714186629
1 2020-08-25 12,8739.882812254022
1 2020-08-25 13,8749.874368891567
1 2020-08-25 14,8763.81606113648
1 2020-08-25 15,8765.860612659879
1 2020-08-25 16,8764.283621757788
1 2020-08-25 17,8752.78970165156
1 2020-08-25 18,8738.043485421507
1 2020-08-25 19,8746.681329928208
1 2020-08-25 20,8740.370329659903
1 2020-08-25 21,8737.639409838464
1 2020-08-25 22,8736.893234588168
1 2020-08-25 23,8728.331487730127
1 2020-08-26 00,8710.511158671354
1 2020-08-26 01,8673.443953474769
1 2020-08-26 02,8659.774763695259
1 2020-08-26 03,8641.418186866134
1 2020-08-26 04,8624.620019236721
1 2020-08-26 05,8610.478006131274
1 2020-08-26 06,8611.66638504105
1 2020-08-26 07,8630.67791808271
1 2020-08-26 08,8673.250828218926
1 2020-08-26 09,8706.966678068964
1 2020-08-26 10,8735.55544147617
1 2020-08-26 11,8748.945160249781
1 2020-08-26 12,8751.512378770756
1 2020-08-26 13,8758.18012227446
1 2020-08-26 14,8779.592925196583
1 2020-08-26 15,8781.239103254922
1 2020-08-26 16,8776.986214506913
1 2020-08-26 17,8759.920251367532
1 2020-08-26 18,8741.865958884298
1 2020-08-26 19,8748.120596866838
1 2020-08-26 20,8746.359251823946
1 2020-08-26 21,8739.518671486861
1 2020-08-26 22,8707.846517856424
1 2020-08-26 23,8698.743530776675
1 2020-08-27 00,8677.216792218593
1 2020-08-27 01,8662.201997592314
1 2020-08-27 02,8653.236727105832
1 2020-08-27 03,8640.783516553838
1 2020-08-27 04,8624.476945087214
1 2020-08-27 05,8612.146699670157
1 2020-08-27 06,8608.726614476584
1 2020-08-27 07,8632.331339921404
1 2020-08-27 08,8647.510731693186
1 2020-08-27 09,8672.353663116977
1 2020-08-27 10,8696.309270807851
1 2020-08-27 11,8713.185086812628
1 2020-08-27 12,8722.219904178697
1 2020-08-27 13,8731.24706697752
1 2020-08-27 14,8747.004999229639
1 2020-08-27 15,8773.764039681915
1 2020-08-27 16,8768.398557210558
1 2020-08-27 17,8724.02999497634
1 2020-08-27 18,8700.311326078869
1 2020-08-27 19,8706.751998538724
